date,jm,j,i,rb,hc
2019-01-02,1447.5,2230,541,3834,3655
2019-01-03,1420,2207.5,541.5,3863,3642
2019-01-04,1434,2175,563,3866,3631
2019-01-07,1434,2140,566.5,3856,3645
2019-01-08,1435,2170,570,3866,3630
2019-01-09,1435,2069.5,570,3745,3620
2019-01-10,1450,2129.5,570,3640,3612
2019-01-11,1478,2060,579,3631,3625
2019-01-14,1480,2100,574.5,3650,3623
2019-01-15,1480,2100,550,3615,3591
2019-01-16,1405,2170,533.5,3603,3580
2019-01-17,1405,2170,533.5,3630,3580
2019-01-18,1405,2118,517.5,3705,3610
2019-01-21,1344,2162,546.5,3713,3610
2019-01-22,1431.5,2184,545,3683,3610
2019-01-23,1431.5,2220.5,545,3693,3640
2019-01-24,1431.5,2192,545,3740,3630
2019-01-25,1431.5,2239,545,3762,3650
2019-01-28,1377,2239,543.5,3751,3655
2019-01-29,1337,2239,573.5,3760,3680
2019-01-30,1337,2239,606.5,3703,3710
2019-01-31,1322.5,2245,594,3878,3700
2019-02-01,1322.5,2212.5,618,3825,3700
2019-02-11,1322.5,2212.5,616.5,3880,3700
2019-02-12,1322.5,2212.5,653,3822,3700
2019-02-13,1322.5,2212.5,653,3818,3830
2019-02-14,1322.5,2212.5,653,3810,3800
2019-02-15,1322.5,2212.5,653,3725,3800
2019-02-18,1322.5,2212.5,653,3751,3728
2019-02-19,1322.5,2212.5,653,3750,3728
2019-02-20,1322.5,2212.5,653,3734,3728
2019-02-21,1322.5,2212.5,614,3780,3728
2019-02-22,1321,2217.5,665,3786,3728
2019-02-25,1321,2280,645,3722,3728
2019-02-26,1321,2253.5,636.5,3776,3728
2019-02-27,1321,2321.5,636,3769,3931
2019-02-28,1321,2185,659,3805,3786
2019-03-01,1321,2242.5,664,3839,3871
2019-03-04,1321,2242.5,660,3855,3871
2019-03-05,1321,2242.5,664.5,3860,3871
2019-03-06,1321,2242.5,668,3790,3871
2019-03-07,1321,2242.5,632,3845,3871
2019-03-08,1321,2242.5,666.5,3820,3871
2019-03-11,1321,2242.5,648,3795,3871
2019-03-12,1321,2242.5,615,3805,3871
2019-03-13,1321,2242.5,615,3850,3871
2019-03-14,1321,2242.5,640,3802,3871
2019-03-15,1263,2222.5,627,3845,3871
2019-03-18,1263,2222.5,657,3773,3662
2019-03-19,1263,2222.5,649,3794,3665
2019-03-20,1263,2089.5,631.5,3803,3744
2019-03-21,1263,2059,631.5,3790,3726
2019-03-22,1337.5,2044.5,608.5,3781,3665
2019-03-25,1337.5,2045,623,3702,3809
2019-03-26,1258.5,1990.5,623,3718,3690
2019-03-27,1258.5,1990.5,623,3720,3886
2019-03-28,1258.5,2055.5,623,3715,3685
2019-03-29,1258.5,2075,623,3800,3753
2019-04-01,1258.5,2232.5,623,3800,3753
2019-04-02,1258.5,2232.5,623,3813,3753
2019-04-03,1258.5,2345.5,623,3870,3753
2019-04-04,1258.5,2345.5,623,3841,3753
2019-04-08,1258.5,2463.5,623,4007,3753
2019-04-09,1258.5,2463.5,623,4007,3753
2019-04-10,1258.5,2316,660,4028,3753
2019-04-11,1258.5,2320,699,4019,3753
2019-04-12,1258.5,2459,699,4120,3753
2019-04-15,1258.5,2459,679.5,4120,3753
2019-04-16,1220.5,2036.5,697,4144,3972
2019-04-17,1223.5,2030.5,691,4163,3990
2019-04-18,1224,2010,687,4102,3930
2019-04-19,1230,2037,693,4134,3974
2019-04-22,1225,2026,700,4150,3997
2019-04-23,1216,2030,700.5,4147,3984
2019-04-24,1218.5,2035,693,4133,3965
2019-04-25,1208,2030,694.5,4133,3958
2019-04-26,1190.5,2026.5,695.5,4151,3986
2019-04-29,1212,2048,702,4194,3991
2019-04-30,1170,2068.5,722,4191,4061
2019-05-06,1160,2109,712.5,4159,4061
2019-05-07,1180.5,2146.5,725.5,4150,4080
2019-05-08,1160,2160,723,4135,4078
2019-05-09,1145,2175,724,4137,4100
2019-05-10,1149.5,2174,729,4149,4140
2019-05-13,1188.5,2155.5,731,4196,4090
2019-05-14,1234,2106,730.5,4172,4049
2019-05-15,1260,2167,735.5,4400,4053
2019-05-16,1230,2179.5,778.5,3947,4020
2019-05-17,1178.5,2230.5,790,3936,4025
2019-05-20,1343,2160,790.5,3930,4000
2019-05-21,1355.5,2270,781,4007,4032
2019-05-22,1355.5,2270,793,4006,4101
2019-05-23,1355.5,2225,804.5,3961,4140
2019-05-24,1368,2240,813.5,3978,4122
2019-05-27,1368,2290,845,3945,4132
2019-05-28,1368,2280.5,846,3939,4117
2019-05-29,1368,2280,841,3910,4105
2019-05-30,1286,2295.5,836.5,3881,4000
2019-05-31,1286,2280,830,3779,3941
2019-06-03,1363,2363.5,786,3760,3945
2019-06-04,1363,2363.5,788,3765,3945
2019-06-05,1363,2363.5,802.5,3765,3945
2019-06-06,1363,2363.5,802.5,3710,3945
2019-06-10,1363,2363.5,802.5,3680,3945
2019-06-11,1363,2363.5,834,3750,3945
2019-06-12,1363,2363.5,830,3770,3945
2019-06-13,1363,2363.5,853,3760,3945
2019-06-14,1363,2363.5,853,3730,3945
2019-06-17,1363,2363.5,790,3730,3945
2019-06-18,1403,2050,861,3702,3864
2019-06-19,1428,2043.5,886.5,3730,3755
2019-06-20,1439,2082,920.5,3761,3755
2019-06-21,1438.5,2065.5,911.5,3750,3755
2019-06-24,1437,2111.5,914,3801,3755
2019-06-25,1430.5,2058.5,904,3828,3755
2019-06-26,1440,2056,914.5,3816,3755
2019-06-27,1445,2049.5,933,3818,3755
2019-06-28,1450,2102,952.5,3828,3755
2019-07-01,1413.5,2013,970,3850,3755
2019-07-02,1414,2099.5,987,3829,3755
2019-07-03,1415.5,2099,960,3850,3755
2019-07-04,1429,2080,999,3850,3755
2019-07-05,1362.5,2000,918,3849,3755
2019-07-08,1404.5,2001.5,958.5,3777,3755
2019-07-09,1404.5,2013.5,958.5,3829,3755
2019-07-10,1380,2013.5,958.5,3760,3755
2019-07-11,1380,2039,958.5,3750,3755
2019-07-12,1450,2037.5,963.5,3760,3755
2019-07-15,1424,2167.5,935.5,3750,3755
2019-07-16,1424,2167.5,949,4115,3930
2019-07-17,1424,2167.5,941,4120,3929
2019-07-18,1424,2167.5,933.5,4070,3929
2019-07-19,1430,2186,959,4080,3929
2019-07-22,1430,2231.5,937.5,4062,3939
2019-07-23,1430,2231.5,938,4049,3944
2019-07-24,1430,2231.5,934,4035,3829
2019-07-25,1435.5,2231.5,949,4060,3850
2019-07-26,1466.5,2180,958.5,4078,3880
2019-07-29,1466.5,2231,954,4070,3849
2019-07-30,1466.5,2231,975.5,4051,3949
2019-07-31,1466.5,2231,956,4084,3888
2019-08-01,1466.5,2231,951.5,4064,3902
2019-08-02,1466.5,2231,933,4057,3902
2019-08-05,1466.5,2231,880,3950,3902
2019-08-06,1466.5,2231,872,3990,3902
2019-08-07,1466.5,2231,872,3990,3902
2019-08-08,1466.5,2231,820,3990,3902
2019-08-09,1466.5,2231,758,3990,3902
2019-08-12,1466.5,2231,740.5,3990,3902
2019-08-13,1466.5,2231,730.5,3990,3720
2019-08-14,1466.5,2231,750,3990,3750
2019-08-15,1391.5,2049.5,723.5,3990,3800
2019-08-16,1410.5,2049.5,737,3776,3753
2019-08-19,1409.5,2054,733.5,3790,3778
2019-08-20,1405,2061,726,3756,3730
2019-08-21,1400,2044.5,710.5,3749,3717
2019-08-22,1406,2047,692.5,3752,3720
2019-08-23,1403.5,2044,715.5,3778,3725
2019-08-26,1406,1971,700,3720,3680
2019-08-27,1401,1945.5,693.5,3626,3620
2019-08-28,1405,1931.5,700,3645,3620
2019-08-29,1405,1892.5,701,3604,3561
2019-08-30,1438,1859,725,3612,3611
2019-09-02,1442,1907.5,747,3700,3690
2019-09-03,1446,1888,767,3693,3690
2019-09-04,1440,1860,782,3696,3688
2019-09-05,1413.5,1885,790,3785,3700
2019-09-06,1445.5,1866,778.5,3770,3650
2019-09-09,1451,1888.5,800,3765,3730
2019-09-10,1537,1910,809.5,3785,3720
2019-09-11,1604,1902.5,857,3770,3700
2019-09-12,1561.5,1893,835.5,3799,3680
2019-09-16,1700,1835,902.5,3820,3760
2019-09-17,1391,1942.5,789,3823,3715
2019-09-18,1387,1962,807,3810,3686
2019-09-19,1387,1938,789.5,3741,3610
2019-09-20,1387,1973,788,3691,3609
2019-09-23,1387,1939.5,797,3774,3688
2019-09-24,1323,1866.5,776.5,3759,3681
2019-09-25,1323,1888,772.5,3769,3681
2019-09-26,1323,1885,784.5,3715,3626
2019-09-27,1276,1772,788,3672,3590
2019-09-30,1299.5,1799.5,800,3653,3629
2019-10-08,1299.5,1736,818,3649,3570
2019-10-09,1299.5,1839.5,788.5,3632,3565
2019-10-10,1299.5,1839.5,800,3585,3550
2019-10-11,1299.5,1740,798,3603,3532
2019-10-14,1299.5,1740,799,3645,3550
2019-10-15,1299.5,1700,797.5,3650,3548
2019-10-16,1299.5,1700,760,3452,3342
2019-10-17,1299.5,1667,760,3477,3335
2019-10-18,1299.5,1670,760,3435,3331
2019-10-21,1299.5,1714,803,3444,3356
2019-10-22,1277.5,1722,716,3478,3366
2019-10-23,1313,1720.5,716.5,3487,3366
2019-10-24,1296,1729,720,3481,3349
2019-10-25,1296,1743,714.5,3487,3449
2019-10-28,1296,1726.5,705,3487,3350
2019-10-29,1296,1661.5,694,3501,3418
2019-10-30,1296,1699,674.5,3484,3449
2019-10-31,1296,1699,680,3435,3479
2019-11-01,1296,1699,681.5,3494,3463
2019-11-04,1296,1699,682,3509,3470
2019-11-05,1296,1699,689.5,3600,3500
2019-11-06,1296,1699,685,3600,3490
2019-11-07,1260,1699,676,3700,3450
2019-11-08,1260,1699,684.5,3700,3450
2019-11-11,1260,1699,676,3690,3450
2019-11-12,1260,1699,676,3690,3460
2019-11-13,1260,1699,676,3690,3460
2019-11-14,1260,1699,683,3690,3550
2019-11-15,1300,1664,648.5,3700,3550
2019-11-18,1285.5,1664,647.5,3690,3500
2019-11-19,1285.5,1680,650.5,3704,3500
2019-11-20,1299,1680,652.5,3831,3580
2019-11-21,1299,1680,656.5,3795,3580
2019-11-22,1316,1770,665.5,3831,3585
2019-11-25,1356.5,1766.5,678.5,3900,3759
2019-11-26,1318.5,1755,665.5,3891,3533
2019-11-27,1310.5,1755,661,3919,3641
2019-11-28,1329.5,1755,671,3950,3522
2019-11-29,1319,1686.5,655,3980,3540
2019-12-02,1325,1744,663,3716,3519
2019-12-03,1325,1744,660,3760,3519
2019-12-04,1325,1744,680,3760,3519
2019-12-05,1325,1744,666,3800,3519
2019-12-06,1325,1744,670,3800,3519
2019-12-09,1325,1744,603.5,4000,3519
2019-12-10,1325,1820,631.5,4000,3519
2019-12-11,1290,1842.5,631.5,4000,3519
2019-12-12,1293.5,1842.5,638,4240,3519
2019-12-13,1304,1826,675,4240,3519
2019-12-16,1244.5,1926,681,3985,3519
2019-12-17,1244.5,1942,674,3687,3731
2019-12-18,1244,1951.5,672,3688,3714
2019-12-19,1236,1948.5,684,3716,3727
2019-12-20,1235.5,1945,674,3719,3717
2019-12-23,1230,1934,680,3741,3746
2019-12-24,1200.5,1922,680,3725,3741
2019-12-25,1203,1915,677,3695,3718
2019-12-26,1205,1919.5,677.5,3734,3742
2019-12-27,1205,1929,680,3757,3741
2019-12-30,1202.5,1938,683,3788,3761
2019-12-31,1214,1950,718,3782,3765
2020-01-02,1219,1951,709.5,3742,3747
2020-01-03,1222,1960,715,3750,3757
2020-01-06,1225,1962,715,3750,3760
2020-01-07,1238,1965,723,3748,3765
2020-01-08,1240,1965,720,3761,3815
2020-01-09,1239.5,1962,720,3766,3800
2020-01-10,1237,1942,726.5,3881,3829
2020-01-13,1230.5,1928.5,725,3801,3801
2020-01-14,1230,1937,745,3925,3820
2020-01-15,1175,1900,740,3770,3874
2020-01-16,1245,1919,713,3671,3713
2020-01-17,1245,1919,714.5,3691,3800
2020-01-20,1245,1919,710,3694,3817
2020-01-21,1260,1962.5,713,3702,3820
2020-01-22,1249.5,1856,709,3679,3850
2020-01-23,1273,1856,705.5,3620,3873
2020-02-03,1273,1856,708,3335,3563
2020-02-04,1273,1856,729.5,3350,3520
2020-02-05,1273,1856,692.5,3380,3450
2020-02-06,1273,1856,653.5,3370,3420
2020-02-07,1273,1856,648.5,3368,3420
2020-02-10,1273,1856,681,3380,3420
2020-02-11,1287,1856,690,3380,3420
2020-02-12,1287,1856,681,3380,3420
2020-02-13,1287,1856,660,3380,3420
2020-02-14,1287,1856,685.5,3378,3420
2020-02-17,1246.5,1947,675.5,3378,3420
2020-02-18,1246.5,1888,678,3369,3451
2020-02-19,1246.5,1889,687.5,3365,3451
2020-02-20,1246.5,1889,701.5,3413,3519
2020-02-21,1246.5,1889,714,3428,3550
2020-02-24,1246.5,1889,703,3460,3550
2020-02-25,1292,1889,713.5,3485,3606
2020-02-26,1292,1889,703,3468,3600
2020-02-27,1292,1889,686,3400,3600
2020-02-28,1292,1889,685,3400,3600
2020-03-02,1292,1889,715,3431,3546
2020-03-03,1292,1889,705,3431,3550
2020-03-04,1292,1889,705,3480,3550
2020-03-05,1292,1889,670.5,3473,3570
2020-03-06,1292,1889,682,3470,3570
2020-03-09,1292,1889,675,3401,3500
2020-03-10,1292,1889,685,3470,3500
2020-03-11,1292,1889,725,3486,3500
2020-03-12,1292,1889,700,3486,3500
2020-03-13,1292,1889,685,3450,3520
2020-03-16,1309.5,1852.5,711.5,3500,3520
2020-03-17,1318,1852.5,731,3496,3600
2020-03-18,1328.5,1852.5,723,3488,3530
2020-03-19,1250.5,1838.5,745.5,3450,3500
2020-03-20,1250.5,1894.5,715,3438,3450
2020-03-23,1242,1819,690.5,3379,3400
2020-03-24,1290,1819,696.5,3397,3350
2020-03-25,1261.5,1821,714,3441,3350
2020-03-26,1261.5,1821,693.5,3445,3352
2020-03-27,1261.5,1821,689.5,3435,3350
2020-03-30,1300,1821,680.5,3410,3350
2020-03-31,1320,1821,690,3297,3153
2020-04-01,1328.5,1821,683,3353,3153
2020-04-02,1328.5,1821,683,3310,3153
2020-04-03,1328.5,1821,690,3292,3153
2020-04-07,1328.5,1821,690,3322,3200
2020-04-08,1328.5,1821,660,3325,3200
2020-04-09,1328.5,1821,650,3326,3200
2020-04-10,1328.5,1821,633,3450,3200
2020-04-13,1328.5,1821,633,3450,3200
2020-04-14,1328.5,1821,633,3470,3200
2020-04-15,1328.5,1821,669.5,3420,3200
2020-04-16,1254,1782,683,3540,3373
2020-04-17,1260,1779.5,690.5,3542,3378
2020-04-20,1241,1777,693.5,3533,3367
2020-04-21,1239.5,1755.5,676,3507,3335
2020-04-22,1232.5,1775.5,680,3537,3350
2020-04-23,1222.5,1779.5,674,3503,3318
2020-04-24,1217,1788,678,3517,3332
2020-04-27,1214.5,1780,678,3513,3327
2020-04-28,1189,1755,681.5,3492,3313
2020-04-29,1193,1757,683.5,3486,3320
2020-04-30,1252,1700,691.5,3524,3306
2020-05-06,1238,1705,679,3559,3322
2020-05-07,1230,1725.5,679.5,3587,3363
2020-05-08,1250,1710,688.5,3536,3382
2020-05-11,1250,1703,687.5,3407,3385
2020-05-12,1205,1720,695,3428,3400
2020-05-13,1190,1702,704,3419,3395
2020-05-14,1208,1723.5,710,3406,3416
2020-05-15,1225,1740,729,3400,3429
2020-05-18,1259.5,1879,768,3551,3424
2020-05-19,1234.5,1703.5,707.5,3577,3411
2020-05-20,1212.5,1855,761,3530,3550
2020-05-21,1219,1880.5,774.5,3570,3550
2020-05-22,1208.5,1798,771,3613,3505
2020-05-25,1207.5,1844.5,784.5,3597,3500
2020-05-26,1230.5,1910,752,3560,3499
2020-05-27,1218.5,1910,760,3504,3463
2020-05-28,1185,1910,764,3430,3500
2020-05-29,1185,1910,789,3444,3721
2020-06-01,1185,1963,787.5,3504,3620
2020-06-02,1185,1963,800.5,3585,3650
2020-06-03,1185,1963,793,3537,3650
2020-06-04,1185,1963,788,3537,3620
2020-06-05,1185,1963,795,3537,3605
2020-06-08,1185,1963,796.5,3600,3650
2020-06-09,1185,1963,820.5,3600,3650
2020-06-10,1185,1963,812,3600,3630
2020-06-11,1185,1963,820,3600,3630
2020-06-12,1185,1963,784,3600,3630
2020-06-15,1238.5,1992,797.5,3600,3630
2020-06-16,1257,2008,816,3693,3621
2020-06-17,1245,2008,806.5,3702,3646
2020-06-18,1266,2036.5,800.5,3714,3733
2020-06-19,1256,2064,807,3712,3687
2020-06-22,1256,2070,791.5,3719,3732
2020-06-23,1238.5,2091.5,797,3746,3732
2020-06-24,1245.5,2073,810.5,3725,3732
2020-06-29,1245.5,2119.5,777.5,3680,3692
2020-06-30,1245.5,2289,794,3798,3700
2020-07-01,1245.5,2030,800,3640,3700
2020-07-02,1245.5,2030,800,3655,3700
2020-07-03,1255,2030,800,3655,3700
2020-07-06,1255,2030,809.5,3655,3721
2020-07-07,1255.5,2030,803,3655,3721
2020-07-08,1255.5,2030,840,3633,3721
2020-07-09,1255.5,2178,840,3660,3721
2020-07-10,1255.5,2180,820,3620,3870
2020-07-13,1255.5,2153,840,3651,3800
2020-07-14,1255.5,2112,807.5,3651,3800
2020-07-15,1242,2058,870,3651,3880
2020-07-16,1242,2058,874,3687,3887
2020-07-17,1246.5,2160,877,3688,3870
2020-07-20,1246.5,2160,870,3698,3850
2020-07-21,1246.5,2160,879,3717,3854
2020-07-22,1272,2160,875.5,3773,3900
2020-07-23,1279,2238.5,880.5,3798,3908
2020-07-24,1296,2175.5,866.5,3784,3907
2020-07-27,1356.5,2048,864,3785,3860
2020-07-28,1321.5,2135,864.5,3816,3851
2020-07-29,1288,2135,876.5,3840,3893
2020-07-30,1265,2135,872,3789,3921
2020-07-31,1286.5,2135,893,3660,4000
2020-08-03,1305,2135,900,3780,4000
2020-08-04,1301.5,2135,900,3750,4030
2020-08-05,1298,2135,915,3771,4030
2020-08-06,1300,2135,910,3771,4030
2020-08-07,1300,2135,889,3771,4030
2020-08-10,1300,2135,860,3771,4030
2020-08-11,1254,2135,863,3760,4030
2020-08-12,1254,2135,863,3718,4030
2020-08-13,1254,2135,882,3718,4030
2020-08-14,1254,2135,920,3718,4030
2020-08-17,1194,1990.5,898.5,3718,4030
2020-08-18,1204.5,1998.5,912,3796,4068
2020-08-19,1185,2008.5,915.5,3750,4036
2020-08-20,1214.5,1985,914.5,3727,3995
2020-08-21,1217.5,1980,920.5,3729,4001
2020-08-24,1210.5,1987.5,916.5,3752,4007
2020-08-25,1220.5,1987,910,3733,4052
2020-08-26,1226,1986,911.5,3737,4034
2020-08-27,1233.5,1982.5,906.5,3721,4069
2020-08-28,1231.5,2026,930.5,3746,4046
2020-08-31,1231,2078,918.5,3755,4100
2020-09-01,1229,2082,931.5,3760,4090
2020-09-02,1227.5,2082,931.5,3750,4085
2020-09-03,1227,2084,940,3815,4085
2020-09-04,1224.5,2084.5,942,3780,4085
2020-09-07,1226,2126,940,3775,4040
2020-09-08,1226,2165,931,3778,4040
2020-09-09,1226,2260,953,3771,4040
2020-09-10,1226,2360,944.5,3710,3990
2020-09-11,1226,2540,960,3729,3950
2020-09-14,1230,2300,935,3748,3950
2020-09-15,1252.5,1993,921,3690,3950
2020-09-16,1249,1953.5,903,3673,3845
2020-09-17,1282,1972.5,907.5,3647,3840
2020-09-18,1282.5,1999,921.5,3672,3864
2020-09-21,1275,1985.5,915.5,3608,3833
2020-09-22,1296,2004,919,3614,3831
2020-09-23,1288,1993,904,3622,3822
2020-09-24,1290.5,1993,911,3628,3835
2020-09-25,1282,1985,912,3611,3837
2020-09-28,1290,1994,917,3627,3835
2020-09-29,1325.5,2023.5,926,3620,3836
2020-09-30,1260.5,2050.5,990,3607,3840
2020-10-09,1315.5,2176.5,991.5,3638,3894
2020-10-12,1315.5,2100.5,955,3610,3976
2020-10-13,1315.5,2105,913.5,3630,3940
2020-10-14,1315.5,2270.5,915,3625,3940
2020-10-15,1315.5,2270.5,875,3645,3912
2020-10-16,1315.5,2270.5,869.5,3645,3860
2020-10-19,1315.5,2270.5,838,3631,3834
2020-10-20,1315.5,2270.5,867,3660,3822
2020-10-21,1315.5,2270.5,880,3660,3838
2020-10-22,1315.5,2102,860,3673,3838
2020-10-23,1329,2256.5,864,3628,3838
2020-10-26,1328,2295,857,3611,3803
2020-10-27,1339.5,2321.5,845.5,3625,3853
2020-10-28,1338,2378,859,3685,3842
2020-10-29,1305,2564.5,861.5,3705,3821
2020-10-30,1350,2338.5,861,3820,3832
2020-11-02,1334.5,2605,876,3770,3929
2020-11-03,1334.5,2605,888,3790,3910
2020-11-04,1334.5,2605,886,3756,3907
2020-11-05,1334.5,2605,868.5,3712,3907
2020-11-06,1334.5,2605,866,3810,3907
2020-11-09,1306,2605,860,3744,3907
2020-11-10,1306,2605,891.5,3744,3907
2020-11-11,1306,2605,920,3968,3907
2020-11-12,1306,2605,838.5,3968,3907
2020-11-13,1306,2605,870,3968,4080
