date,rb,hc
2019-01-02,3834,3655
2019-01-03,3863,3642
2019-01-04,3866,3631
2019-01-07,3856,3645
2019-01-08,3866,3630
2019-01-09,3745,3620
2019-01-10,3640,3612
2019-01-11,3631,3625
2019-01-14,3650,3623
2019-01-15,3615,3591
2019-01-16,3603,3580
2019-01-17,3630,3580
2019-01-18,3705,3610
2019-01-21,3713,3610
2019-01-22,3683,3610
2019-01-23,3693,3640
2019-01-24,3740,3630
2019-01-25,3762,3650
2019-01-28,3751,3655
2019-01-29,3760,3680
2019-01-30,3703,3710
2019-01-31,3878,3700
2019-02-01,3825,3700
2019-02-11,3880,3700
2019-02-12,3822,3700
2019-02-13,3818,3830
2019-02-14,3810,3800
2019-02-15,3725,3800
2019-02-18,3751,3728
2019-02-19,3750,3728
2019-02-20,3734,3728
2019-02-21,3780,3728
2019-02-22,3786,3728
2019-02-25,3722,3728
2019-02-26,3776,3728
2019-02-27,3769,3931
2019-02-28,3805,3786
2019-03-01,3839,3871
2019-03-04,3855,3871
2019-03-05,3860,3871
2019-03-06,3790,3871
2019-03-07,3845,3871
2019-03-08,3820,3871
2019-03-11,3795,3871
2019-03-12,3805,3871
2019-03-13,3850,3871
2019-03-14,3802,3871
2019-03-15,3845,3871
2019-03-18,3773,3662
2019-03-19,3794,3665
2019-03-20,3803,3744
2019-03-21,3790,3726
2019-03-22,3781,3665
2019-03-25,3702,3809
2019-03-26,3718,3690
2019-03-27,3720,3886
2019-03-28,3715,3685
2019-03-29,3800,3753
2019-04-01,3800,3753
2019-04-02,3813,3753
2019-04-03,3870,3753
2019-04-04,3841,3753
2019-04-08,4007,3753
2019-04-09,4007,3753
2019-04-10,4028,3753
2019-04-11,4019,3753
2019-04-12,4120,3753
2019-04-15,4120,3753
2019-04-16,4144,3972
2019-04-17,4163,3990
2019-04-18,4102,3930
2019-04-19,4134,3974
2019-04-22,4150,3997
2019-04-23,4147,3984
2019-04-24,4133,3965
2019-04-25,4133,3958
2019-04-26,4151,3986
2019-04-29,4194,3991
2019-04-30,4191,4061
2019-05-06,4159,4061
2019-05-07,4150,4080
2019-05-08,4135,4078
2019-05-09,4137,4100
2019-05-10,4149,4140
2019-05-13,4196,4090
2019-05-14,4172,4049
2019-05-15,4400,4053
2019-05-16,3947,4020
2019-05-17,3936,4025
2019-05-20,3930,4000
2019-05-21,4007,4032
2019-05-22,4006,4101
2019-05-23,3961,4140
2019-05-24,3978,4122
2019-05-27,3945,4132
2019-05-28,3939,4117
2019-05-29,3910,4105
2019-05-30,3881,4000
2019-05-31,3779,3941
2019-06-03,3760,3945
2019-06-04,3765,3945
2019-06-05,3765,3945
2019-06-06,3710,3945
2019-06-10,3680,3945
2019-06-11,3750,3945
2019-06-12,3770,3945
2019-06-13,3760,3945
2019-06-14,3730,3945
2019-06-17,3730,3945
2019-06-18,3702,3864
2019-06-19,3730,3755
2019-06-20,3761,3755
2019-06-21,3750,3755
2019-06-24,3801,3755
2019-06-25,3828,3755
2019-06-26,3816,3755
2019-06-27,3818,3755
2019-06-28,3828,3755
2019-07-01,3850,3755
2019-07-02,3829,3755
2019-07-03,3850,3755
2019-07-04,3850,3755
2019-07-05,3849,3755
2019-07-08,3777,3755
2019-07-09,3829,3755
2019-07-10,3760,3755
2019-07-11,3750,3755
2019-07-12,3760,3755
2019-07-15,3750,3755
2019-07-16,4115,3930
2019-07-17,4120,3929
2019-07-18,4070,3929
2019-07-19,4080,3929
2019-07-22,4062,3939
2019-07-23,4049,3944
2019-07-24,4035,3829
2019-07-25,4060,3850
2019-07-26,4078,3880
2019-07-29,4070,3849
2019-07-30,4051,3949
2019-07-31,4084,3888
2019-08-01,4064,3902
2019-08-02,4057,3902
2019-08-05,3950,3902
2019-08-06,3990,3902
2019-08-07,3990,3902
2019-08-08,3990,3902
2019-08-09,3990,3902
2019-08-12,3990,3902
2019-08-13,3990,3720
2019-08-14,3990,3750
2019-08-15,3990,3800
2019-08-16,3776,3753
2019-08-19,3790,3778
2019-08-20,3756,3730
2019-08-21,3749,3717
2019-08-22,3752,3720
2019-08-23,3778,3725
2019-08-26,3720,3680
2019-08-27,3626,3620
2019-08-28,3645,3620
2019-08-29,3604,3561
2019-08-30,3612,3611
2019-09-02,3700,3690
2019-09-03,3693,3690
2019-09-04,3696,3688
2019-09-05,3785,3700
2019-09-06,3770,3650
2019-09-09,3765,3730
2019-09-10,3785,3720
2019-09-11,3770,3700
2019-09-12,3799,3680
2019-09-16,3820,3760
2019-09-17,3823,3715
2019-09-18,3810,3686
2019-09-19,3741,3610
2019-09-20,3691,3609
2019-09-23,3774,3688
2019-09-24,3759,3681
2019-09-25,3769,3681
2019-09-26,3715,3626
2019-09-27,3672,3590
2019-09-30,3653,3629
2019-10-08,3649,3570
2019-10-09,3632,3565
2019-10-10,3585,3550
2019-10-11,3603,3532
2019-10-14,3645,3550
2019-10-15,3650,3548
2019-10-16,3452,3342
2019-10-17,3477,3335
2019-10-18,3435,3331
2019-10-21,3444,3356
